molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL595493,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)cc1)CC2,630.0,active
CHEMBL594336,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3NC(=O)Nc3ccc([N+](=O)[O-])cc3)cc1)CC2,500.0,inactive
CHEMBL488910,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3,74.0,active
CHEMBL36506,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,104000.0,active
CHEMBL348475,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,850.0,intermediate
CHEMBL396298,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,430.0,intermediate
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,1260.0,inactive
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,3380.0,inactive
CHEMBL599353,COC(Cc1ccc(O)cc1)C(=O)N/C=C/c1ccc(O)cc1,100000.0,inactive
CHEMBL599354,CO/C(=C\c1ccc(O)cc1)C(=O)NCCc1ccc(O)cc1,25200.0,inactive
CHEMBL607573,COC(Cc1ccc(O)cc1)C(=O)NCCc1ccc(O)cc1,100000.0,inactive
CHEMBL599746,O=C(/C=C/c1ccc(O)cc1)N/C=C/c1ccc(O)cc1,100000.0,inactive
CHEMBL599747,CO/C(=C\c1ccc(O)cc1)C(=O)NCC(O)c1ccc(O)cc1,100000.0,inactive
CHEMBL600469,CO/C(=C\c1ccc(O)cc1)C(=O)O,100000.0,inactive
CHEMBL599744,CO/C(=C\c1ccccc1)C(=O)N/C=C/c1ccc(O)cc1,15400.0,inactive
CHEMBL599745,CO/C(=C\c1ccc(OC)cc1)C(=O)N/C=C/c1ccc(O)cc1,6400.0,inactive
CHEMBL598642,CO/C(=C\c1ccc(O)c(O)c1)C(=O)N/C=C/c1ccc(O)cc1,18800.0,inactive
CHEMBL605795,CO/C(=C\c1cc(Br)c(O)c(Br)c1)C(=O)N/C=C/c1ccc(O)cc1,11100.0,inactive
CHEMBL601642,CO/C(=C\c1cc(Br)c(O)c(Br)c1)C(=O)N/C=C/c1ccc(OC(C)=O)cc1,23200.0,inactive
