molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4172744,O=[N+]([O-])c1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1,active,387.3550000000001,4.856800000000003,1.0,7.0,6.627087997029894
CHEMBL4161427,O=[N+]([O-])c1cccc(-c2nc(Nc3ccc(O)c([N+](=O)[O-])c3)c3ccccc3n2)c1,active,403.3540000000001,4.562400000000002,2.0,8.0,6.82102305270683
CHEMBL4169350,N#Cc1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1,active,367.36800000000005,4.820280000000003,1.0,6.0,6.920818753952375
CHEMBL4176534,COc1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1,active,372.38400000000007,4.957200000000003,1.0,6.0,6.91721462968355
CHEMBL4165918,COc1ccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)cc1OC,active,402.41000000000014,4.965800000000003,1.0,7.0,7.2549252084179425
CHEMBL4166534,COc1cc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)ccc1Br,active,451.2800000000001,5.719700000000002,1.0,6.0,6.096367483915762
CHEMBL4176826,CCOc1ccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)cc1OCC,active,430.46400000000017,5.746000000000004,1.0,7.0,6.6777807052660805
CHEMBL4170247,O=[N+]([O-])c1cccc(-c2nc(Nc3ccc4c(c3)OCCO4)c3ccccc3n2)c1,active,400.3940000000002,4.719800000000003,1.0,7.0,6.580044251510242
CHEMBL4168440,CSc1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1,active,388.4520000000001,5.670500000000004,1.0,6.0,7.023191662661934
CHEMBL4161193,CSc1ccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)cc1,active,388.45200000000006,5.670500000000004,1.0,6.0,7.052566278112949
CHEMBL4171799,Nc1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1,active,357.3730000000001,4.530800000000002,2.0,6.0,6.546681659952962
CHEMBL4169523,CN(C)c1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1,active,385.4270000000001,5.014600000000003,1.0,6.0,6.655607726314889
CHEMBL4161606,CCN(CC)c1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1,active,413.4810000000001,5.794800000000004,1.0,6.0,6.638272163982407
CHEMBL4172917,CC(=O)Nc1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1,active,399.4100000000001,4.907000000000003,2.0,6.0,6.896196279044043
CHEMBL4165025,O=[N+]([O-])c1cccc(-c2nc(Nc3cccc(C(F)(F)F)c3)c3ccccc3n2)c1,active,410.3550000000001,5.967400000000002,1.0,5.0,4.97061622231479
CHEMBL4159429,COc1ccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)cc1C(F)(F)F,active,440.3810000000001,5.976000000000003,1.0,6.0,4.790484985457369
CHEMBL4167647,O=[N+]([O-])c1cccc(-c2nc(Nc3ccc(I)cc3)c3ccccc3n2)c1,active,468.2540000000001,5.553200000000003,1.0,5.0,5.752026733638194
CHEMBL4171726,O=[N+]([O-])c1ccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3ccccc3n2)cc1,active,387.35500000000013,4.8568000000000024,1.0,7.0,6.779891911959945
CHEMBL4171705,N#Cc1cccc(Nc2nc(-c3ccc([N+](=O)[O-])cc3)nc3ccccc23)c1,active,367.36800000000005,4.820280000000002,1.0,6.0,6.4736607226101555
CHEMBL4163316,COc1cccc(Nc2nc(-c3ccc([N+](=O)[O-])cc3)nc3ccccc23)c1,active,372.38400000000007,4.957200000000003,1.0,6.0,6.97061622231479
CHEMBL4164537,COc1ccc(Nc2nc(-c3ccc([N+](=O)[O-])cc3)nc3ccccc23)cc1OC,active,402.41000000000014,4.965800000000003,1.0,7.0,7.06198090252379
CHEMBL4176113,COc1ccc(Nc2nc(-c3cccc(C#N)c3)nc3ccccc23)cc1O,active,368.39600000000013,4.626280000000003,2.0,6.0,6.527243550682788
CHEMBL4172857,CC(=O)Nc1cccc(Nc2nc(-c3cccc(C#N)c3)nc3ccccc23)c1,active,379.42300000000006,4.870480000000002,2.0,5.0,6.647817481888637
CHEMBL4159527,COc1ccccc1-c1nc(Nc2cccc([N+](=O)[O-])c2)c2ccccc2n1,active,372.38400000000007,4.957200000000003,1.0,6.0,6.192464971931146
CHEMBL4176228,COc1cccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3ccccc3n2)c1,active,372.3840000000001,4.957200000000003,1.0,6.0,6.856985199745905
CHEMBL4166863,COc1cccc(-c2nc(Nc3ccc([N+](=O)[O-])cc3)c3ccccc3n2)c1,inactive,372.38400000000007,4.957200000000004,1.0,6.0,7.167491087293763
CHEMBL4160887,COc1cccc(-c2nc(Nc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)c3ccccc3n2)c1,active,417.38100000000014,4.865400000000003,1.0,8.0,6.536107011014093
CHEMBL4164535,COc1cccc(-c2nc(Nc3ccc(F)c([N+](=O)[O-])c3)c3ccccc3n2)c1,active,390.37400000000014,5.096300000000004,1.0,6.0,5.924453038607469
CHEMBL4175165,COc1cccc(-c2nc(Nc3cccc(C#N)c3)c3ccccc3n2)c1,active,352.3970000000001,4.9206800000000035,1.0,5.0,6.444905551421681
CHEMBL4161119,COc1cccc(-c2nc(Nc3cccc(F)c3)c3ccccc3n2)c1,active,345.37700000000007,5.188100000000004,1.0,4.0,5.785156151952302
CHEMBL4171304,COc1cccc(-c2nc(Nc3ccc(OC)c(OC)c3)c3ccccc3n2)c1,inactive,387.43900000000014,5.066200000000004,1.0,6.0,6.318758762624412
CHEMBL4163405,COc1ccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3ccccc3n2)cc1,inactive,372.38400000000007,4.957200000000004,1.0,6.0,6.73754891026957
CHEMBL4167968,COc1ccc(-c2nc(Nc3cccc(C#N)c3)c3ccccc3n2)cc1,inactive,352.39700000000005,4.9206800000000035,1.0,5.0,5.673664139071248
CHEMBL4160041,COc1ccc(-c2nc(Nc3cccc(OC)c3)c3ccccc3n2)cc1,inactive,357.41300000000007,5.057600000000003,1.0,5.0,5.669586226650809
CHEMBL4159635,COc1ccc(-c2nc(Nc3ccc(OC)c(OC)c3)c3ccccc3n2)cc1,inactive,387.4390000000001,5.066200000000004,1.0,6.0,6.3788237182249645
CHEMBL3092485,COc1ccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3ccccc3n2)cc1OC,inactive,402.41000000000014,4.965800000000004,1.0,7.0,7.0835460514500745
CHEMBL4165009,COc1ccc(-c2nc(Nc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)c3ccccc3n2)cc1OC,inactive,447.4070000000002,4.874000000000004,1.0,9.0,6.214670164989233
CHEMBL4172203,COc1ccc(-c2nc(Nc3ccc(O)c([N+](=O)[O-])c3)c3ccccc3n2)cc1OC,active,418.40900000000016,4.671400000000004,2.0,8.0,6.515700160653214
CHEMBL3092488,COc1ccc(-c2nc(Nc3cccc(C#N)c3)c3ccccc3n2)cc1OC,active,382.4230000000001,4.929280000000004,1.0,6.0,6.866461091629782
CHEMBL4171781,COc1cccc(Nc2nc(-c3ccc(OC)c(OC)c3)nc3ccccc23)c1,active,387.4390000000001,5.066200000000004,1.0,6.0,6.437707135543525
CHEMBL4160529,COc1cc(Nc2nc(-c3ccc(OC)c(OC)c3)nc3ccccc23)ccc1Br,active,466.3350000000001,5.828700000000004,1.0,6.0,7.323306390375134
